segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
69,0.0193732902407646,0.0196591895073652,0.00028589918,0.0012102670928372,0.0024205341856744,0.0024789637484052677,0.002384518962098312,4.60163664272436e-06,170.39972,1187671.0123741718
70,0.0196591895073652,0.0199377182871103,0.0002785281,0.00117471610573,0.00234943221146,0.002384518962098312,0.002371779370439011,4.335265692203061e-06,133.4192999999917,1303603.4300287496
71,0.0199377182871103,0.0202140286564826,0.00027631113,0.001196974270011,0.002393948540022,0.002371779370439011,0.0024074728528249685,4.501108715929581e-06,86.0375400000083,1199685.2184831812
72,0.0202140286564826,0.0204910822212696,0.00027705278,0.0012105167710696,0.0024210335421392,0.0024074728528249685,0.0023827038003894326,4.603535474844813e-06,55.77591,1149972.4169305274
73,0.0204910822212696,0.0207673944532871,0.00027631133,0.0011722383101861,0.0023444766203722,0.0023827038003894326,0.002345838546576157,4.316996472659261e-06,58.46381800000945,1304197.1050966007
74,0.0207673944532871,0.0210455898195505,0.00027819496,0.0011736048773172,0.0023472097546344,0.002345838546576157,0.002325977971534887,4.327067640204075e-06,108.78081,1306982.6222429443
75,0.0210455898195505,0.0213300343602895,0.00028444448,0.0011521346266997,0.0023042692533994,0.002325977971534887,0.0022926129200248925,4.1701946928352e-06,169.09998000000016,1438774.668674227
76,0.0213300343602895,0.0216218493878841,0.0002918148,0.0011403272746913,0.0022806545493826,0.0022926129200248925,0.0022712963512232123,4.0851583624841545e-06,183.70544,1538145.615288931
77,0.0216218493878841,0.0219218023121356,0.00029995202,0.0011308385896784,0.0022616771793568,0.0022712963512232123,0.0022669647718402772,4.017455854850846e-06,179.76926000000068,1634773.126369869
78,0.0219218023121356,0.0222307350486516,0.00030893288,0.0011362053305615,0.002272410661123,0.0022669647718402772,0.0022432182711688555,4.055678473181339e-06,169.04892,1652133.119178081
79,0.0222307350486516,0.022540533915162,0.00030979948,0.0011069720184234,0.0022139440368468,0.0022432182711688555,0.0022314552754521574,3.849666952741043e-06,161.73495,1838832.988702878
80,0.022540533915162,0.0228427536785602,0.0003022207,0.001124269054368,0.002248538108736,0.0022314552754521574,0.0022394505955229305,3.970913130482924e-06,136.66958999999932,1685975.8315739415
81,0.0228427536785602,0.0231391675770282,0.00029641422,0.0011152688300762,0.0022305376601524,0.0022394505955229305,0.0021620165458124028,3.90759011054243e-06,76.89989500000034,1707611.0242115532
82,0.0231391675770282,0.0234347227960824,0.00029555548,0.0010468469649121,0.0020936939298242,0.0021620165458124028,0.002025942175545435,3.4428354742117028e-06,105.66069000000114,2193382.723716516
83,0.0234347227960824,0.0237376559525728,0.0003029334,0.0009782495679716,0.0019564991359432,0.002025942175545435,0.0019468580335773088,3.0064168873602512e-06,203.63879999999887,2948197.9895612616
84,0.0237376559525728,0.0240585580468177,0.00032090157,0.0009683225273309,0.0019366450546618,0.0019468580335773088,0.001982104255346108,2.94570969245725e-06,234.1588099999949,3253118.5720681828
85,0.0240585580468177,0.0243992414325475,0.00034068275,0.001015182843364,0.002030365686728,0.001982104255346108,0.002008739420653896,3.237713467893025e-06,192.50742000000042,2858783.2060504365
86,0.0243992414325475,0.0247485283762216,0.0003492878,0.0009932835043414,0.0019865670086828,0.002008739420653896,0.001998634818418301,3.0995333881248824e-06,137.6656500000077,3198148.9434015267
