"U:0","U:1","U:2","p","Cell Type"
3.46542010e-03,9.05361958e-03,-2.23595998e-03,8.80203024e-02,5
1.60476996e-03,4.84524993e-03,-5.18077984e-04,8.79502967e-02,5
1.60476996e-03,4.84524993e-03,-5.18077984e-04,8.79502967e-02,5
6.22662992e-05,9.78152966e-04,2.29265006e-05,8.82939994e-02,5
6.22662992e-05,9.78152966e-04,2.29265006e-05,8.82939994e-02,5
3.86364001e-04,2.90268008e-03,-4.14225011e-04,8.83492976e-02,5
3.86364001e-04,2.90268008e-03,-4.14225011e-04,8.83492976e-02,5
7.36616028e-04,3.92608019e-03,-6.82610029e-04,8.83465037e-02,5
7.36616028e-04,3.92608019e-03,-6.82610029e-04,8.83465037e-02,5
-4.05594001e-05,5.82957000e-04,1.22041001e-05,8.83165970e-02,5
-4.05594001e-05,5.82957000e-04,1.22041001e-05,8.83165970e-02,5
5.34397004e-05,2.50342011e-04,1.96132005e-05,8.82361978e-02,5
5.34397004e-05,2.50342011e-04,1.96132005e-05,8.82361978e-02,5
2.64933013e-04,1.62154005e-03,-1.04854997e-04,8.82669985e-02,5
2.64933013e-04,1.62154005e-03,-1.04854997e-04,8.82669985e-02,5
1.13026996e-03,5.05908020e-03,-1.11535005e-03,8.83075967e-02,5
1.13026996e-03,5.05908020e-03,-1.11535005e-03,8.83075967e-02,5
2.15513006e-04,6.43126026e-04,-4.19069984e-05,8.79243016e-02,5
2.15513006e-04,6.43126026e-04,-4.19069984e-05,8.79243016e-02,5
2.64278991e-04,1.01547001e-03,4.67788013e-05,8.78755003e-02,5
2.64278991e-04,1.01547001e-03,4.67788013e-05,8.78755003e-02,5
-2.23084993e-04,5.79706975e-04,1.57508999e-04,8.87484998e-02,5
-2.23084993e-04,5.79706975e-04,1.57508999e-04,8.87484998e-02,5
-3.81387013e-04,9.26612003e-04,2.09958002e-04,8.86775032e-02,5
-3.81387013e-04,9.26612003e-04,2.09958002e-04,8.86775032e-02,5
-1.11658002e-04,2.34063002e-04,8.50684009e-05,8.87044966e-02,5
-1.61286996e-04,3.86055006e-04,1.03106002e-04,8.86169970e-02,5
-1.61286996e-04,3.86055006e-04,1.03106002e-04,8.86169970e-02,5
-3.84773994e-05,1.85732002e-04,-6.29317014e-07,8.83873999e-02,5
-3.84773994e-05,1.85732002e-04,-6.29317014e-07,8.83873999e-02,5
-3.84773994e-05,1.85732002e-04,-6.29317014e-07,8.83873999e-02,5
8.85917980e-05,1.91095006e-03,-6.51375012e-05,8.84047970e-02,5
8.85917980e-05,1.91095006e-03,-6.51375012e-05,8.84047970e-02,5
-8.34531966e-05,3.36891011e-04,3.82537983e-05,8.83686990e-02,5
-8.34531966e-05,3.36891011e-04,3.82537983e-05,8.83686990e-02,5
-3.77604993e-05,1.15165999e-03,1.70172007e-05,8.84182006e-02,5
-3.77604993e-05,1.15165999e-03,1.70172007e-05,8.84182006e-02,5
-2.44574003e-05,9.80049008e-05,8.90401043e-06,8.84130001e-02,5
-1.97467001e-04,3.63503990e-04,8.02389986e-05,8.84891003e-02,5
