"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.010135,-0.027974,-0.0080142,0.21183,-0.24471,-0.012578,0.30119
0.010082,-0.028005,-0.0078923,0.23764,-0.25601,-0.015066,0.30292
0.0099925,-0.028078,-0.0078927,0.21438,-0.20647,-0.018541,0.30459
0.0099465,-0.028123,-0.0079513,0.18153,-0.15306,-0.018587,0.30646
0.010016,-0.028062,-0.0079223,0.20183,-0.18444,-0.018693,0.30179
0.0099586,-0.028103,-0.0078573,0.23717,-0.24781,-0.020475,0.30683
0.010013,-0.02806,-0.0078721,0.26475,-0.28433,-0.01532,0.30168
0.0099964,-0.028097,-0.0080917,0.075682,-0.053981,-0.0059063,0.30427
0.0099464,-0.02813,-0.0080242,0.15903,-0.12868,-0.016353,0.30584
0.0099301,-0.028139,-0.0079803,0.18153,-0.15306,-0.018587,0.30646
0.0099923,-0.028015,-0.0072948,0.33546,-0.37345,-0.024846,0.30647
0.0099851,-0.028015,-0.0072466,0.31744,-0.34593,-0.021971,0.30958
0.0099923,-0.02801,-0.0072466,0.36451,-0.42105,-0.030982,0.30592
0.0099961,-0.028007,-0.0072504,0.38063,-0.45315,-0.031225,0.30307
0.0099922,-0.028051,-0.0076312,0.30256,-0.33443,-0.021008,0.30581
0.010042,-0.02801,-0.0076316,0.33353,-0.37694,-0.022217,0.30252
0.0099736,-0.028064,-0.0076119,0.30464,-0.33748,-0.022246,0.30827
0.010004,-0.02804,-0.0076182,0.33413,-0.36895,-0.022253,0.30251
0.009971,-0.02807,-0.0076525,0.27808,-0.30667,-0.020112,0.30742
0.010005,-0.028042,-0.0076457,0.31138,-0.34436,-0.01972,0.30259
0.0098663,-0.02814,-0.0075012,0.28761,-0.31677,-0.020337,0.311
0.0099018,-0.028115,-0.007538,0.30464,-0.33748,-0.022246,0.30827
0.0098998,-0.028109,-0.0074675,0.31181,-0.34175,-0.022158,0.30876
0.0098073,-0.028182,-0.0074421,0.26285,-0.28918,-0.017719,0.31481
0.0094878,-0.028397,-0.0069922,0.036801,-0.023591,0.0038553,0.32317
0.010121,-0.027877,-0.006992,0.36373,-0.40316,-0.029959,0.30239
0.0099314,-0.028019,-0.0068636,0.27185,-0.27493,-0.015881,0.31063
0.0099927,-0.027968,-0.0068638,0.31119,-0.33717,-0.025379,0.309
0.00997,-0.027984,-0.006841,0.29061,-0.31352,-0.0237,0.31115
0.0098653,-0.028086,-0.0069899,0.24644,-0.24381,-0.011173,0.31322
0.0098821,-0.028071,-0.0069708,0.26548,-0.25747,-0.012779,0.30996
0.0098838,-0.028073,-0.007009,0.283,-0.28829,-0.017283,0.30991
0.0098303,-0.02811,-0.0069457,0.21518,-0.2071,-0.0057349,0.3162
0.0098313,-0.028118,-0.0070241,0.23251,-0.23463,-0.010707,0.3158
0.0099935,-0.02794,-0.0066087,0.24592,-0.25899,-0.019967,0.30927
0.0099549,-0.027968,-0.0065692,0.20761,-0.21642,-0.017303,0.3115
0.0099582,-0.027973,-0.0066438,0.25715,-0.27234,-0.019677,0.31123
0.010046,-0.027877,-0.0064192,0.17302,-0.16644,-0.011204,0.30661
0.010043,-0.027891,-0.006529,0.23902,-0.25048,-0.019607,0.30648
0.0099311,-0.027974,-0.0064461,0.14791,-0.13811,-0.009303,0.31157
0.0099299,-0.027982,-0.0065061,0.20761,-0.21642,-0.017303,0.3115
0.0099562,-0.027949,-0.0064046,0.14791,-0.13811,-0.009303,0.31157
