"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.0057504,-0.02181,-0.0058793,0.050333,-0.1215,-0.054981,0.41867
0.0057833,-0.021791,-0.0058794,0.018762,-0.063995,-0.029654,0.42164
0.0057722,-0.021798,-0.0058573,0.018762,-0.063995,-0.029654,0.42164
0.0053705,-0.02205,-0.0053668,0.057231,-0.097908,-0.01747,0.43097
0.0053716,-0.02205,-0.0053555,0.050801,-0.085231,-0.014157,0.43091
0.0053853,-0.022041,-0.0053669,0.063174,-0.10726,-0.017441,0.43035
0.0053409,-0.022067,-0.0053776,0.051288,-0.088555,-0.017499,0.43159
0.0056348,-0.021893,-0.0053598,0.050531,-0.10245,-0.015871,0.42653
0.0055995,-0.021913,-0.005394,0.051131,-0.14301,-0.017233,0.42827
0.005757,-0.02182,-0.0053811,0.010032,-0.023388,-0.0039967,0.42671
0.0056786,-0.02187,-0.0052546,0.0066232,-0.014503,-0.0024866,0.42837
