"U:0","U:1","U:2","p","Cell Type"
1.77331999e-01,-2.35630006e-01,-1.16242003e-02,3.02612007e-01,5
1.77331999e-01,-2.35630006e-01,-1.16242003e-02,3.02612007e-01,5
1.03426002e-01,-1.78874001e-01,-1.34703005e-03,3.07530999e-01,5
1.29390001e-01,-1.27690002e-01,-1.09309005e-02,3.01281005e-01,5
1.29390001e-01,-1.27690002e-01,-1.09309005e-02,3.01281005e-01,5
7.37259015e-02,-6.82469010e-02,-7.67689024e-04,3.00395012e-01,5
7.37259015e-02,-6.82469010e-02,-7.67689024e-04,3.00395012e-01,5
5.44903018e-02,-4.93546985e-02,-5.48951002e-03,3.01005006e-01,5
5.44903018e-02,-4.93546985e-02,-5.48951002e-03,3.01005006e-01,5
5.44903018e-02,-4.93546985e-02,-5.48951002e-03,3.01005006e-01,5
1.93683002e-02,-1.64193995e-02,4.67670994e-04,3.00725996e-01,5
4.20437008e-02,-4.06914018e-02,-2.14804010e-03,2.93790013e-01,5
4.20437008e-02,-4.06914018e-02,-2.14804010e-03,2.93790013e-01,5
1.06386997e-01,-1.11436002e-01,-6.53488003e-03,2.96072006e-01,5
1.06386997e-01,-1.11436002e-01,-6.53488003e-03,2.96072006e-01,5
1.02073997e-01,-9.28061008e-02,-4.68934979e-03,2.96537995e-01,5
1.02073997e-01,-9.28061008e-02,-4.68934979e-03,2.96537995e-01,5
1.53221995e-01,-1.69927001e-01,-7.57686980e-03,2.98343003e-01,5
1.53221995e-01,-1.69927001e-01,-7.57686980e-03,2.98343003e-01,5
9.84039977e-02,-9.76105034e-02,-5.10799978e-03,2.97746003e-01,5
9.84039977e-02,-9.76105034e-02,-5.10799978e-03,2.97746003e-01,5
1.61790997e-01,-1.83219001e-01,-1.02131004e-02,2.96355993e-01,5
1.61790997e-01,-1.83219001e-01,-1.02131004e-02,2.96355993e-01,5
1.58847004e-01,-2.00469002e-01,-9.59303975e-03,2.94093996e-01,5
1.58847004e-01,-2.00469002e-01,-9.59303975e-03,2.94093996e-01,5
