"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.0098638,0.029351,-0.022278,0.087087,0.014482,-0.034701,-0.0046163
0.0061866,0.014365,-0.013326,0.086964,0.014406,-0.034742,-0.0046864
0.0054208,0.017294,-0.014863,0.08668,0.014426,-0.034732,-0.004686
0.0095444,0.030887,-0.024325,0.086622,0.014489,-0.034702,-0.0046849
0.0069835,0.014654,-0.014322,0.087287,0.01436,-0.034763,-0.0046872
0.0035087,0.0072206,-0.0081969,0.087274,0.014335,-0.034775,-0.0046872
-0.00038686,0.00060544,0.00049761,0.089023,0.015935,-0.034012,-0.0046269
-0.00072237,0.00039321,0.00091802,0.089083,0.015957,-0.034004,-0.0046685
-0.00052563,-6.3524e-05,0.0006133,0.089096,0.015985,-0.033992,-0.004679
-0.00067515,2.4538e-05,0.0016437,0.08912,0.015953,-0.034011,-0.0047387
0.001031,0.0021131,0.00070543,0.089015,0.015888,-0.034042,-0.0047409
-7.775e-05,0.0022857,0.0004167,0.088987,0.015886,-0.034038,-0.0046793
-0.0002374,0.0018237,0.00025269,0.088907,0.015896,-0.034029,-0.004607
0.0065525,0.013927,-0.011187,0.088849,0.014414,-0.03472,-0.0044337
0.006239,0.012756,-0.0097388,0.088631,0.014488,-0.034685,-0.0044333
0.0048779,0.0090113,-0.0072344,0.089211,0.014411,-0.034721,-0.0044199
0.0052614,0.0094386,-0.0069067,0.08901,0.014465,-0.03469,-0.0043512
0.090219,-0.16029,0.038323,0.089164,0.015764,-0.034144,-0.0053744
0.084111,-0.15297,0.037794,0.086959,0.01589,-0.034085,-0.005375
0.13102,-0.22707,0.049526,0.088302,0.015765,-0.034153,-0.0055006
0.12223,-0.22067,0.057909,0.084593,0.01589,-0.034093,-0.005501
0.056508,-0.097384,0.022069,0.088532,0.01589,-0.034076,-0.0052486
0.049802,-0.11647,0.021196,0.087123,0.016015,-0.034025,-0.0053759
0.030979,-0.06932,0.014814,0.088997,0.016012,-0.034018,-0.0052495
0.037939,-0.09147,0.017947,0.088478,0.016013,-0.034022,-0.0053129
0.055337,-0.087299,0.0091152,0.089462,0.015764,-0.034136,-0.0052481
0.017573,-0.01409,-0.0031136,0.089285,0.015763,-0.034119,-0.0049941
0.015757,-0.020942,0.0052689,0.089193,0.01589,-0.034058,-0.0049939
0.02793,-0.035262,0.00019372,0.089469,0.015764,-0.034127,-0.0051212
0.032454,-0.051242,0.011245,0.08905,0.01589,-0.034067,-0.0051214
0.017005,-0.037155,0.0098714,0.089443,0.016013,-0.034009,-0.0051221
0.022846,-0.053086,0.012686,0.089381,0.016012,-0.034014,-0.005186
0.019086,-0.068483,0.0027005,0.086053,0.016092,-0.033997,-0.0055016
0.030793,-0.11102,0.010259,0.086681,0.01608,-0.033999,-0.0054392
0.01402,-0.055314,0.0054125,0.08789,0.016088,-0.033995,-0.0054393
0.038595,-0.12075,0.0072454,0.083921,0.016079,-0.034004,-0.0055018
0.02542,-0.084368,0.016006,0.088511,0.016079,-0.033998,-0.0054219
0.028327,-0.082195,0.023008,0.088926,0.016072,-0.033998,-0.0053766
0.052657,-0.13399,0.022304,0.086215,0.016015,-0.034029,-0.0054388
0.011183,-0.026078,0.0084582,0.08951,0.016015,-0.034004,-0.0050578
0.0037841,-0.014892,0.010331,0.089533,0.016026,-0.033998,-0.0050579
0.0078394,0.02021,-0.0087737,0.088458,0.014644,-0.034601,-0.0042923
0.0053834,0.013144,-0.0049091,0.088538,0.014634,-0.034602,-0.0042347
0.0040452,0.011198,-0.0042922,0.088181,0.014674,-0.034583,-0.0042283
0.0072543,0.021365,-0.010276,0.088047,0.014672,-0.034588,-0.0042977
0.0068405,0.015503,-0.006338,0.088859,0.014604,-0.034617,-0.0042367
0.010282,0.024713,-0.011363,0.088614,0.014593,-0.034625,-0.0042865
0.010474,0.029439,-0.014487,0.08822,0.014627,-0.034614,-0.0043646
0.01371,0.03513,-0.017551,0.088422,0.014609,-0.034623,-0.0043649
0.011894,0.037111,-0.014078,0.088053,0.014737,-0.034557,-0.0042975
0.015334,0.049162,-0.021513,0.087854,0.014735,-0.034563,-0.0043631
0.0083169,0.02788,-0.014887,0.087729,0.014672,-0.034593,-0.0043638
0.00039127,0.0073827,-0.002414,0.088767,0.015764,-0.034088,-0.0045549
-0.00049152,0.0027781,-0.00012032,0.088831,0.015826,-0.034058,-0.0045555
